Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
35_2023;DE  BEM  COM  A  VIDA;1;CPRIOJ;AGPRTI;BRASIL;47;18,24;11:00;10/AGO/2023;SAVEIRO;INTERIOR;PASSAGEIROS;MOTOR;ÁGUA ABERTA;-23,21666667;-44,70916667;0;0;0;2 8 1 0 2 7 5 6 5 3;MADEIRA;NÃO POSSUI
33_2023;SEM   NOME;1;CPRIOJ;CPRIOJ;BRASIL;NÃO INSCRITA;A SER APURADO;13:00;05/AGO/2023;BARCO;A SER APURADO;PESCA;MOTOR;NAUFRÁGIO;-22,05000000;-43,17694444;0;0;0;N Ã O  IN S C R IT A;MADEIRA;NÃO POSSUI
31_2023;PETROBRAS    70;1;CPRIOJ;CPRIOJ;LIBÉRIA;156,423;316;02:40;"25/UL/2023;";PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-0,95000000;-42,48361111;0;1;0;3 8 1 E 0 1 1 6 1 5;AÇO;
32_2023;GALILEU    33;1;CPRIOJ;CPRIOJ;BRASIL;NÃO INSCRITA;A SER APURADO;07:13;05/AGO/2023;BARCO;A SER APURADO;PESCA;MOTOR;AVARIA DE MÁQUINAS;-23,00000000;-43,15666667;0;0;0;N Ã O  IN S C R IT A;MADEIRA;NÃO POSSUI
34_2023;FENIX   II;1;CPRIOJ;AGPRTI;BRASIL;39;19,88;11:00;10/AGO/2023;ESCUNA;INTERIOR;PASSAGEIROS;MOTOR;ÁGUA ABERTA;-23,21666667;-44,70916667;0;0;0;3 8 6 8 8 9 0 6 8 8;MADEIRA;NÃO POSSUI
11_2023;RIO  POTENGI;3;CPNATL;CPNATL;BRASIL;97;22,97;SE:R ;A /URADO;BARCO;CABOTAGEM;PESCA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;;;0;1;0;2 1 1 0 1 8 5 2 0;AÇO;
10_2023;RIO  POTENGI;3;CPNATL;CPNATL;BRASIL;22,97;22,97;10:00;08/AGO/2023;BARCO;CABOTAGEM;PESCA;MOTOR;MORTE DE PESSOA;3,11666667;-28,61583333;1;0;0;2 1 1 0 1 8 5 2 0;AÇO;
35-A/2023;THETIS;8;CPSANT;CPSANT;LIBÉRIA;35,873;199,99;7:00;07/AGO/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;MORTE DE PESSOA;0,00000000;-46,33500000;1;0;0;S O L A S  - IM O   9 7 3 8 2 0 8;AÇO;
05_2023;PIPES  29;7;CFATOC;CFATOC;BRASIL;59;37,4;10:30;12/AGO/2023;BALSA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-9,56666667;-48,38111111;0;1;0;1 2 7 0 0 0 3 7 8 0;AÇO;
18_2023;PACIFIC   HOPE;4;CFAREM;CFAREM;DOMINICA;0;54;19:50;08/AGO/2023;OUTRAS EMBARCAÇÕES;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;MOTOR;ENCALHE;-2,38333333;-54,70805556;0;0;0;N Ã O  IN S C R IT A;AÇO;
34_2023;PETROBRAS    32;1;CPMCAE;CPMCAE;ILHAS MARSHALL;13,086;321,35;6:20;10/JUL/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-22,33333333;-40,24027778;0;1;0;3 8 7 E 0 0 0 4 7 0;AÇO;
34_2023;ITAPURANGA    III;9;CPNAUS;CPNAUS;BRASIL;421;40,3;10:28;11/AGO/2023;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;EXPLOSÃO;-3,21666667;-60,44694444;1;7;0;1 0 2 0 9 8 0 8;AÇO;
35_2023;DOM  JACKSON   I;9;CPNAUS;CPNAUS;BRASIL;238;31,5;17:00;08/AGO/2023;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;COLISÃO ;-3,06666667;-59,67416667;0;0;0;1 0 2 1 1 2 4 1;MADEIRA;NÃO POSSUI
09_2023;FOX;8;DLTIAO;DLTIAO;BRASIL;0;3,12;06:00;13/AGO/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO ;-23,00000000;-45,35972222;1;0;0;4 0 3 M 2 0 1 2 0 0 2 3 0 3;FIBRA;
35_2023;SSV  VICTORIA;1;CPMCAE;CPMCAE;LIBÉRIA;41,16;117,9;9:13;16/AGO/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-22,28333333;-40,03333333;0;1;0;3 8 1 E 0 0 6 2 7 1;AÇO;
3A/2023;Canastra   -  Rio  Grande   2005;1;DLFURN;DLFURN;BRASIL;179;43,34;20:30;14/AGO/2023;BALSA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ABALROAMENTO;-20,41666667;-46,85944444;0;0;0;4 0 1 9 9 7 9 7 5 8;AÇO;
37-A/2023;ROSCO   LEMON;8;CPSANT;CPSANT;HONG KONG;38,868;225;14:30;12/AGO/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM ESCADA DE PORTAL Ó;-23,93333333;-46,31305556;0;0;0;S O L A S  -IM O   9 2 5 4 7 0 7;AÇO;
36-A/2023;MARINHEIRA    SHIRLEY;8;CPSANT;CPSANT;BRASIL;0;6,55;15:00;12/AGO/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-0,21666667;-46,25722222;0;0;0;4 0 1 M 2 0 2 1 0 1 2 2 5 5;FIBRA;
