Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
011_2022;LOPANA I;3;CPCEIO;CPCEIO;BRASIL;17;12,86;1:00;26/AGO/2022;OUTRAS EMBARCAÇÕES;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;-9,66805556;-35,70361111;0;0;0;241222277;FIBRA;;
009_2022;AGUIA 19;6;CPUMBA;CPUMBA;BRASIL;0,6;5,81;15:00;27/AGO/2022;BOTE;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-20,68916667;-51,69833333;0;0;1;9620199308;ALUMÍNIO;;
007_2022;SEM NOME;9;CFINGA;CFINGA;BRASIL;NÃO INSCRITA;A SER APURADO;9:00;27/AGO/2022;CANOA;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-4,23194444;-69,94444444;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
38_2022;Livia Marilia;4;CPBLEM;CPBLEM;BRASIL;25,66;13,00;4:30;27/AGO/2022;BARCO;INTERIOR;PASSAGEIROS;MOTOR;INCÊNDIO;-1,34972222;-48,54333333;0;0;0;210320214;ALUMÍNIO;;
37_2022;NETINHO;4;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;7;9:00;27/JUL/2022;BOTE;INTERIOR;PESCA;MOTOR;DERIVA DA EMBARCAÇÃO;-1,04861111;-48,35111111;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
24_2022;SKANDI RECIFE;1;CPVITO;CPVITO;BRASIL;14,957;139,9;16:35;28AGO/2022;SUPPLY;APOIO-MARÍTIMO;CARGA;MOTOR;COLISÃO;-20,32250000;-40,34027778;0;0;0;3813910555;AÇO;;
16_2022;YARA I;5;CPGRAN;CPGRAN;BRASIL;332;49,5;4:15;30/AGO/2022;FERRY-BOAT;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ENCALHE;-32,01527778;-52,06444444;0;0;0;4620169331;AÇO;;
03_2022;SEM NOME;8;DLGUAI;DLGUAI;BRASIL;A SER APURADO;A SER APURADO;20:14;27/AGO/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-22,83611111;-50,89805556;2;0;0;A SER APURADO;A SER APURADO;;
38_2022;AYRESRIO;1;CPRIOJ;CPRIOJ;BRASIL;3,9;7,52;22:00;28/AGO/2022;VELEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;ENCALHE;-22,97027778;-43,04611111;0;0;0;4620215937;FIBRA;;
07_2022;Kaskata-III;6;CFCUIA;CFCUIA;BRASIL;56;19;9:20;25/AGO/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-16,06527778;-57,68972222;0;0;0;4830101598;AÇO;;
04_2022;CARPE DIEM  VII;1;CFBELZ;CFBELZ;BRASIL;0,8;5,6;22:50;27/AGO/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;;-49,48638889;0;8;0;401079786-0;FIBRA;;
14_2022;LAPAPITA II -  BERNARDO;5;DELUNA;DELUNA;BRASIL;0;3,36;15:30;27/AGO/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-28,83333333;-49,23722222;0;1;0;443M2019006849;FIBRA;;
39_2022;MAERSK LAUNCHER;1;CPRIOJ;CPRIOJ;DINAMARCA;6,821;90,3;18:40;31/AGO/2022;SUPPLY;APOIO-MARÍTIMO;CARGA;MOTOR;INCÊNDIO;-24,60416667;-42,27861111;0;0;0;381E009190;AÇO;;
22_2022;EXP KEDSON ARAUJO III;9;CPNAUS;CPNAUS;BRASIL;60;27,42;13:00;29/AGO/2022;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-0,97000000;-62,92250000;0;0;1;11464887;ALUMÍNIO;;
