Nº DE IAFN;NOME;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG EM DEC;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
39-A_2021;FB-5 - SEM NOME;CPSANT;CPSANT;BRASIL;182;34;18:10:00;14/jun/21;BALSA;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;;;0;0;4010119012;AÇO;
8_2021;KAIROS I;DLCABO;DLCABO;BRASIL;34;17,5;05:00:00;27/jun/21;ESCUNA;INTERIOR;PASSAGEIRO;MOTOR;ENCALHE;-22,97444444;-42,02083333;0;0;2930014393;MADEIRA;NÃO POSSUI
8_2021;Alves;DLRUCA;DLRUCA;BRASIL;MIÚDA;3;03:00:00;27/jun/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,9575;-43,84972222;0;0;383M2012000076;FIBRA;
26_2021;CECILIANO;CPVITO;CPVITO;BRASIL;1,2;6;11:10:00;26/jun/21;BOTE;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-20,15666667;-40,15;0;0;3410135278;MADEIRA;NÃO POSSUI
29_2021;FLOR DA MANHÃ II - GEO-II-G;CPMCAE;CPMCAE;BRASIL;10;11,95;02:15:00;25/jun/21;BARCO;CABOTAGEM;PESCA;MOTOR;ABALROAMENTO;-22,40638889;-41,68527778;0;0;387705219-3;MADEIRA;NÃO POSSUI
14_2021;REM M.L. SOARES I;CFPVEL;AGHMTA;BRASIL;33;13,94;06:30:00;23/jun/21;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-7,52361111;-63,02027778;0;0;50068989;AÇO;
11_2021;MARUJO DE FÉ JC;CPFTZA;AGOCIM;BRASIL;20;12,9;10:00:00;18/jun/21;BARCO;CABOTAGEM;PESCA;MOTOR;DESAPARECIMENTO DE PESSOA;-2,68388889;-39,43444444;0;1;1630048186;MADEIRA;POSSUI
03_2021;SAPPHIRE;CPFBRA;CPFBRA;BRASIL;0;3,36;13:00:00;06/jun/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-15,805;-47,88138889;1;0;521M2015009154;FIBRA;
15_2021;SEM NOME;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;11:30:00;14/jun/21;CANOA;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;NAUFRÁGIO;-1,86833333;-53,59666667;0;1;NÃO INSCRITA;MADEIRA;NÃO POSSUI
6_2021;Sonho Nosso;DLPIRA;DLPIRA;BRASIL;0;4;10:15:00;28/jun/21;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-16,17916667;-45,63722222;0;0;941M2017004139;AÇO;
40-A_2021;CAP SAN ANTONIO;CPSANT;CPSANT;DINAMARCA;51,759;333,2;11:20:00;20/jun/21;NM  PORTA CONTENTOR;LONGO - CURSO;CARGA;MOTOR;COLISÃO;-23,9875;-46,28944444;0;0;SOLAS-IMO 9622241;AÇO;
16_2021;13 de Novembro;CFAREM;CFAREM;BRASIL;9;13,7;14:00:00;26/jun/21;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;NAUFRÁGIO;-2,35555556;-54,84944444;0;0;230933521;MADEIRA;NÃO POSSUI
27_2021;OCCITAN PAUILLAC;CPVITO;CPVITO;MALTA;18,493;169,99;A SER APURADO;A SER APURADO;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-20,32472222;-40,33666667;0;0;SOLAS-IMO 9483451;AÇO;
33_2021;Edda;CPBLEM;CPBLEM;HOLANDA;A SER APURADO;13,04;01:05:00;09/jun/21;VELEIRO;LONGO - CURSO;OUTRAS ATIVIDADES OU SERVIÇO;MISTA;ENCALHE;-0,405;-47,91333333;0;0;32676;FIBRA;
9_2021;BRANDÃO;DLCABO;DLCABO;BRASIL;5,4;8,75;03:00:00;29/jun/21;BOTE;INTERIOR;PESCA;MOTOR;ENCALHE;-22,97222222;-42,01944444;0;0;3840075831;MADEIRA;NÃO POSSUI
26_2021;BROTINHO IX;CPNAUS;CPNAUS;BRASIL;18;13,2;17:50:00;25/jun/21;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-3,0725;-60,08333333;0;0;90019067;AÇO;
05_2021;SEM NOME;CPAGUA;CPAGUA;BRASIL;NÃO INSCRITA;5,95;15:00:00;27/jun/21;BOTE;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;NAUFRÁGIO;-23,3725;-49,72555556;0;0;NÃO INSCRITA;ALUMÍNIO;
4A_2021;SEM NOME;DLFURN;DLFURN;BRASIL;NÃO INSCRITA;4;22:19:00;27/jun/21;CANOA;INTERIOR;SEM ATIVIDADE DEFENIDA;SEM PROPULSÃO;EMBORCAMENTO;-21,0875;-45,53194444;0;0;NÃO INSCRITA;ALUMÍNIO;
15_2021;CARIOCA MV30;DLANGR;DLANGR;BRASIL;167,117;322,21;15:32:00;03/jul/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;RUPTURA DE CABOS;-23,21888889;-46,50861111;0;0;382E000447;AÇO;
32_2021;HB TUCUNARÉ;CPSTNA;CPSTNA;BRASIL;48,495;245;20:30:00;29/jun/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;ATO DE PIRATARIA/ASSALTO/FURTO/ROUBO;-0,0475;-51,08472222;0;0;SOLAS-IMO 9555797;AÇO;
7_2021;IBIAPINA I;CPPARN;CPPARN;BRASIL;0;3,27;16:00:00;03/jul/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-5,17083333;-42,80194444;0;0;141M2012000732;FIBRA;
34_2021;Ana Beatriz IV - Além do Horizonte;CPBLEM;CPBLEM;BRASIL;845;50,5;09:00:00;01/jul/21;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;-1,49472222;-48,51305556;0;0;230914349;AÇO;
07_2021;MALDIVAS;CPCEIO;AGNEDO;BRASIL;2;8;13:00:00;30/jun/21;BARCO;CABOTAGEM;PESCA;MOTOR;NAUFRÁGIO;-10,49083333;-36,38722222;0;0;2420121821;AÇO;
_2021;Querubim;CFJUAZ;CFJUAZ;BRASIL;0;3,45;20:30:00;04/jul/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;;;0;0;943M2020000165;FIBRA;
