Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA;HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
06_2020;CIDADE DE PINHEIRO - CIDADE DE TUTOIA I;4;CPLUIZ;CPLUIZ;BRASIL;976;51,8;04/FEV/2020;9:00;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;-2,503888889;-44,52027778;0;0;0;1210109123;AÇO;
7_200;LUA NOVA;4;CPLUIZ;CPLUIZ;BRASIL;16;10;05/FEV/2020;6:50;OUTRAS EMBARCAÇÕES;INTERIOR;PASSAGEIRO;VELA;DERIVA DA EMBARCAÇÃO;;;0;0;0;1210134080;MADEIRA;NÃO POSSUI
8_2020;SEM NOME;4;CPLUIZ;CPLUIZ;BRASIL;NÃO INSCRITA;A SER APURADO;06/FEV/2020;8:45;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;;;1;0;0;NÃO INSCRITA;A SER APURADO;
07_2020;SEM NOME;9;CFPVEL;AGHMTA;BRASIL;NÃO INSCRITA;A SER APURADO;28/JAN/2020;12:40;CANOA;INTERIOR;A SER APURADO;A SER APURADO;QUEDA DE PESSOAS NA ÁGUA;-5,805555556;-61,43055556;0;3;1;NÃO INSCRITA;A SER APURADO;
09_2020;HL BRASIL;4;CPLUIZ;CPLUIZ;PANAMÁ;152457;339,95;11/FEV/2020;1:40;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;;;0;1;0;SOLAS-IMO 42802-1;AÇO;
05_2020;SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;27/JAN/2020;23:00;CANOA;INTERIOR;PASSAGEIRO;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-2,424166667;-54,73166667;1;0;0;NÃO INSCRITA;MADEIRA;
6_2020;SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;08/FEV/2020;7:00;CANOA;INTERIOR;A SER APURADO;SEM PROPULSÃO;TRANSPORTE DE TÓXICOS/CONTRABANDO/MERCADORIA ILEGAL;-2,419166667;-54,73250000;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
04_2020;MISSIONARIO;4;CFAREM;CFAREM;BRASIL;A SER APURADO;A SER APURADO;24/JAN/2020;3:00;BALSA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;INCÊNDIO;;;0;0;0;A SER APURADO;AÇO;
02_2020;CATARINA;4;CFAREM;CFAREM;BRASIL;48;23,8;17/JAN/2020;13:30;BALSA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;INCÊNDIO;-2,081666667;-53,66000000;0;0;0;230077480;AÇO;
02_2020;ASIA PEARL IV;2;DLHEUS;DLHEUS;SINGAPURA;22402;180;21/JAN/2020;12:00;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;QUEDA DE CARGA E/OU EQUIPAMENTO NA ÁGUA;-14,8;-39,03333333;0;0;0;SOLAS - IMO IRIM-9V3193;AÇO;
11_2020;STELLAR BANNER;4;CPLUIZ;CPLUIZ;ILHAS MASHALL;151596;340;24/FEV/2020;18:30;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-1,705833333;-43,70666667;0;0;0;SOLAS-IMO 9726803;AÇO;
06_2020;BOA SORTE X;1;DLANGR;DLANGR;BRASIL;18,20;13,57;24/FEV/2020;0:00;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-23,01305556;-44,30527778;0;0;0;4030185029;FIBRA;
04_2020;C A P E L A;1;DLANGR;DLANGR;BRASIL;109;30,99;23/FEV/2020;10:40;LANCHA;APOIO MARITIMO;PASSAGEIRO;MOTOR;ENCALHE;-23,0025;-44,52916667;0;0;0;3810423165;AÇO;
10_2020;PETROBRAS 70;1;CPRIOJ;CPRIOJ;LIBÉRIA;156423;316;30/JAN/2020;23:05;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;DEFICIÊNCIA NA ARMARRAÇÃO OU FUNDEIO;-22,91;-43,14000000;0;0;0;9654062;AÇO;
03_2020;ANNA KAROLINE III;4;CPSTNA;CPSTNA;BRASIL;219;38,5;29/FEV/2020;2:00;BARCO;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-1,149722222;-51,90000000;40;0;0;001-014086-7;AÇO;
11_2020;MAK II;1;CPRIOJ;AGPRTI;BRASIL;11,6;10,60;02/FEV/2020;23:30;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE GORVENO;-23,29944444;-44,49500000;0;0;0;3830086695;FIBRA;
10_2020;PIETRO I;4;CPLUIZ;CPLUIZ;BRASIL;16;11,30;20/FEV/2020;9:00;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;;;0;0;0;1210143836;MADEIRA;NÃO POSSUI
08_2020;SEM NOME;9;CFPVEL;CFPVEL;BRASIL;A SER APURADO;A SER APURADO;19/FEV/2020;12:00;CANOA;INTERIOR;A SER APURADO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-8,447777778;-63,49777778;0;0;0;A SER APURADO;A SER APURADO;
03-A_2020;DORA DORA;8;CPSANT;CPSANT;BRASIL;34,50;16,15;03/JAN/2020;7:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-24,14944444;-46,80666667;0;0;0;4010298791;FIBRA;
04-A_2020;EXCALIBUR II;8;CPSANT;CPSANT;BRASIL;13,9;11,5;01/FEV/2020;7:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-24,04666667;-46,28972222;0;0;0;4030253377;FIBRA;
06-A_2020;KM SINGAPORE;8;CPSANT;CPSANT;LIBÉRIA;42699;220;25/JAN/2020;2:30;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;-23,97166667;;0;0;0;SOLAS-IMO 9479321;AÇO;
07-A_2020;VIA REGIS;8;CPSANT;CPSANT;BRASIL;13,70;11,50;07/FEV/2020;14:00;BOTE;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;ENCALHE;-24,18527778;-46,79750000;0;0;0;4420226889;MADEIRA;NÃO POSSUI
08-A_2020;OKIANA;8;CPSANT;CPSANT;ILHA DO HOMEM;38910;212,5;14/FEV/2020;0:18;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM ESTIVADOR;-23,96444444;-46,30166667;0;1;0;SOLAS-IMO9253868;AÇO;
09-A_2020;A SER APURADO;8;CPSANT;CPSANT;BRASIL;NÃO INSCRITA;A SER APURADO;16/FEV/2020;8:20;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-24,13583333;-46,79916667;0;1;0;NÃO INSCRITA;FIBRA;
05-A_2020;ESTRELA DE GISELI;8;CPSANT;CPSANT;BRASIL;4,2;9;02/FEV/2020;22:00;BARCO;INTERIOR;PESCA;MOTOR;ENCALHE;-24,1825;-46,77805556;0;0;0;4430122733;MADEIRA;
05_2020;PEROÁ-1;1;CPVITO;CPVITO;BRASIL;NÃO INSCRITA;20/jan/1900;09/JAN/2020;14:10;PLATAFORMA;LONGO-CURSO;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;ACIDENTES COM PESSOAS EM GERAL A BORDO;-19,56444444;-39,25388889;0;1;0;NÃO INSCRITA;AÇO;
02_2020;SEM NOME;1;DLANGR;DLANGR;BRASIL;A SER APURADO;A SER APURADO;16/JAN/2020;14:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;0;A SER APURADO;FIBRA;
